banco,periodo,fecha,indicador,valor
BAC San José,01/2022,2022-01-01,activo_productivo_ratio,80.77
BAC San José,02/2022,2022-02-01,activo_productivo_ratio,79.19
BAC San José,03/2022,2022-03-01,activo_productivo_ratio,78.69
BAC San José,04/2022,2022-04-01,activo_productivo_ratio,78.19
BAC San José,05/2022,2022-05-01,activo_productivo_ratio,79.07
BAC San José,06/2022,2022-06-01,activo_productivo_ratio,79.43
BAC San José,07/2022,2022-07-01,activo_productivo_ratio,78.21
BAC San José,08/2022,2022-08-01,activo_productivo_ratio,77.79
BAC San José,09/2022,2022-09-01,activo_productivo_ratio,78.89
BAC San José,10/2022,2022-10-01,activo_productivo_ratio,79.91
BAC San José,11/2022,2022-11-01,activo_productivo_ratio,78.61
BAC San José,12/2022,2022-12-01,activo_productivo_ratio,76.84
BAC San José,01/2023,2023-01-01,activo_productivo_ratio,76.23
BAC San José,02/2023,2023-02-01,activo_productivo_ratio,76.76
BAC San José,03/2023,2023-03-01,activo_productivo_ratio,78.21
BAC San José,04/2023,2023-04-01,activo_productivo_ratio,78.67
BAC San José,05/2023,2023-05-01,activo_productivo_ratio,80.79
BAC San José,06/2023,2023-06-01,activo_productivo_ratio,80.95
BAC San José,07/2023,2023-07-01,activo_productivo_ratio,81.28
BAC San José,08/2023,2023-08-01,activo_productivo_ratio,81.82
BAC San José,09/2023,2023-09-01,activo_productivo_ratio,81.74
BAC San José,10/2023,2023-10-01,activo_productivo_ratio,80.59
BAC San José,11/2023,2023-11-01,activo_productivo_ratio,80.0
BAC San José,12/2023,2023-12-01,activo_productivo_ratio,78.19
BAC San José,01/2024,2024-01-01,activo_productivo_ratio,80.01
BAC San José,02/2024,2024-02-01,activo_productivo_ratio,79.38
BAC San José,03/2024,2024-03-01,activo_productivo_ratio,79.22
BAC San José,04/2024,2024-04-01,activo_productivo_ratio,80.31
BAC San José,05/2024,2024-05-01,activo_productivo_ratio,80.92
BAC San José,06/2024,2024-06-01,activo_productivo_ratio,79.88
BAC San José,07/2024,2024-07-01,activo_productivo_ratio,80.89
BAC San José,08/2024,2024-08-01,activo_productivo_ratio,81.24
BAC San José,09/2024,2024-09-01,activo_productivo_ratio,81.57
BAC San José,10/2024,2024-10-01,activo_productivo_ratio,81.43
BAC San José,11/2024,2024-11-01,activo_productivo_ratio,80.35
BAC San José,12/2024,2024-12-01,activo_productivo_ratio,80.06
BAC San José,01/2025,2025-01-01,activo_productivo_ratio,80.15
BAC San José,02/2025,2025-02-01,activo_productivo_ratio,80.16
BAC San José,03/2025,2025-03-01,activo_productivo_ratio,80.43
BAC San José,01/2022,2022-01-01,captaciones_plazo,38.66
BAC San José,02/2022,2022-02-01,captaciones_plazo,37.72
BAC San José,03/2022,2022-03-01,captaciones_plazo,38.08
BAC San José,04/2022,2022-04-01,captaciones_plazo,38.3
BAC San José,05/2022,2022-05-01,captaciones_plazo,38.17
BAC San José,06/2022,2022-06-01,captaciones_plazo,37.88
BAC San José,07/2022,2022-07-01,captaciones_plazo,37.92
BAC San José,08/2022,2022-08-01,captaciones_plazo,38.56
BAC San José,09/2022,2022-09-01,captaciones_plazo,39.09
BAC San José,10/2022,2022-10-01,captaciones_plazo,39.14
BAC San José,11/2022,2022-11-01,captaciones_plazo,38.6
BAC San José,12/2022,2022-12-01,captaciones_plazo,38.26
BAC San José,01/2023,2023-01-01,captaciones_plazo,38.8
BAC San José,02/2023,2023-02-01,captaciones_plazo,39.26
BAC San José,03/2023,2023-03-01,captaciones_plazo,40.35
BAC San José,04/2023,2023-04-01,captaciones_plazo,40.68
BAC San José,05/2023,2023-05-01,captaciones_plazo,41.31
BAC San José,06/2023,2023-06-01,captaciones_plazo,41.12
BAC San José,07/2023,2023-07-01,captaciones_plazo,41.2
