banco,periodo,fecha,mora_90d,cartera_ab,cobertura_provisiones,roe,eficiencia_op,activo_productivo_ratio,captaciones_plazo,spread_intermediacion
BAC San José,01/2022,2022-01-01,1.82,90.06,2.81,13.07,2.15,80.77,38.66,1.15
BAC San José,01/2023,2023-01-01,1.68,92.01,2.57,13.69,1.65,76.23,38.8,1.05
BAC San José,01/2024,2024-01-01,1.3,97.47,3.57,11.45,1.85,80.01,42.11,1.09
BAC San José,01/2025,2025-01-01,1.5,97.91,2.77,15.25,1.96,80.15,39.62,1.06
BAC San José,02/2022,2022-02-01,1.8,90.12,2.79,13.2,2.15,79.19,37.72,1.12
BAC San José,02/2023,2023-02-01,1.65,92.06,2.61,14.66,1.66,76.76,39.26,1.06
BAC San José,02/2024,2024-02-01,1.29,97.51,3.4,10.68,1.84,79.38,42.36,1.08
BAC San José,02/2025,2025-02-01,1.39,98.07,3.01,13.4,1.96,80.16,40.08,1.06
BAC San José,03/2022,2022-03-01,1.74,90.02,2.96,15.45,2.22,78.69,38.08,1.11
BAC San José,03/2023,2023-03-01,1.55,92.4,2.79,11.61,1.54,78.21,40.35,1.06
BAC San José,03/2024,2024-03-01,1.28,97.54,3.39,11.32,1.86,79.22,42.51,1.08
BAC San José,03/2025,2025-03-01,1.34,97.95,3.06,13.36,1.98,80.43,40.11,1.05
BAC San José,04/2022,2022-04-01,1.81,90.43,2.79,16.92,2.22,78.19,38.3,1.11
BAC San José,04/2023,2023-04-01,1.57,92.54,2.83,11.3,1.56,78.67,40.68,1.08
BAC San José,04/2024,2024-04-01,1.2,97.59,3.62,11.09,1.85,80.31,41.75,1.08
BAC San José,05/2022,2022-05-01,1.78,90.35,2.86,18.22,2.27,79.07,38.17,1.11
BAC San José,05/2023,2023-05-01,1.51,92.35,2.99,8.78,1.48,80.79,41.31,1.1
BAC San José,05/2024,2024-05-01,1.21,97.53,3.78,12.13,1.94,80.92,42.15,1.09
BAC San José,06/2022,2022-06-01,1.66,90.36,3.0,19.84,2.27,79.43,37.88,1.12
BAC San José,06/2023,2023-06-01,1.47,92.6,3.1,7.75,1.48,80.95,41.12,1.1
BAC San José,06/2024,2024-06-01,1.21,97.54,3.54,12.63,1.93,79.88,42.07,1.08
BAC San José,07/2022,2022-07-01,1.73,90.35,2.79,22.47,2.2,78.21,37.92,1.1
BAC San José,07/2023,2023-07-01,1.45,92.54,3.12,8.06,1.52,81.28,41.2,1.1
BAC San José,07/2024,2024-07-01,1.2,97.51,3.51,13.81,1.94,80.89,42.13,1.09
BAC San José,08/2022,2022-08-01,1.69,90.53,2.85,21.48,2.09,77.79,38.56,1.08
BAC San José,08/2023,2023-08-01,1.36,92.5,3.39,8.32,1.56,81.82,42.51,1.12
BAC San José,08/2024,2024-08-01,1.16,97.61,3.6,14.14,1.95,81.24,42.41,1.09
BAC San José,09/2022,2022-09-01,1.71,90.6,2.84,18.34,2.0,78.89,39.09,1.07
BAC San José,09/2023,2023-09-01,1.38,92.52,3.39,9.65,1.63,81.74,42.99,1.11
BAC San José,09/2024,2024-09-01,1.14,97.58,3.65,14.14,1.95,81.57,41.22,1.08
BAC San José,10/2022,2022-10-01,1.69,90.54,2.8,17.36,1.9,79.91,39.14,1.09
BAC San José,10/2023,2023-10-01,1.44,92.47,3.24,9.02,1.64,80.59,41.89,1.09
BAC San José,10/2024,2024-10-01,1.14,97.62,3.7,13.98,1.95,81.43,40.93,1.08
BAC San José,11/2022,2022-11-01,1.69,90.44,2.63,17.94,1.87,78.61,38.6,1.09
BAC San José,11/2023,2023-11-01,1.37,92.57,3.37,8.56,1.69,80.0,41.82,1.1
BAC San José,11/2024,2024-11-01,1.17,97.65,3.62,13.97,1.95,80.35,39.62,1.08
BAC San José,12/2022,2022-12-01,1.72,90.31,2.62,17.02,1.8,76.84,38.26,1.06
BAC San José,12/2023,2023-12-01,1.34,92.4,3.41,7.92,1.68,78.19,41.06,1.06
BAC San José,12/2024,2024-12-01,1.59,97.64,2.6,14.67,1.97,80.06,38.52,1.06
BCR,01/2022,2022-01-01,3.19,88.55,1.55,9.32,1.73,82.36,28.39,1.04
BCR,01/2023,2023-01-01,2.68,91.24,1.62,7.66,1.42,79.75,35.12,1.01
BCR,01/2024,2024-01-01,2.76,94.48,1.39,4.0,1.14,80.59,28.41,1.03
BCR,01/2025,2025-01-01,2.46,96.08,1.69,6.43,1.47,81.03,29.27,1.03
BCR,02/2022,2022-02-01,3.24,88.67,1.52,9.54,1.74,82.04,28.06,1.03
BCR,02/2023,2023-02-01,2.71,91.32,1.61,7.84,1.39,78.78,35.74,1.0
BCR,02/2024,2024-02-01,2.69,94.74,1.42,3.8,1.18,80.73,29.1,1.03
BCR,02/2025,2025-02-01,2.43,96.13,1.7,6.22,1.47,80.66,29.62,1.03
BCR,03/2022,2022-03-01,3.4,88.51,1.49,9.24,1.73,83.01,30.36,1.04
BCR,03/2023,2023-03-01,2.7,91.3,1.61,6.47,1.32,78.42,36.91,1.0
BCR,03/2024,2024-03-01,2.7,94.96,1.41,4.79,1.22,80.64,29.36,1.02
BCR,03/2025,2025-03-01,2.3,96.51,1.72,6.52,1.47,81.86,32.01,1.03
BCR,04/2022,2022-04-01,3.06,88.81,1.63,9.33,1.73,81.12,29.49,1.01
BCR,04/2023,2023-04-01,2.79,91.21,1.56,6.14,1.29,79.2,37.12,1.01
BCR,04/2024,2024-04-01,2.81,94.9,1.34,5.22,1.26,80.85,30.04,1.03
BCR,05/2022,2022-05-01,3.13,89.34,1.62,9.2,1.71,81.69,30.09,1.02
BCR,05/2023,2023-05-01,2.83,91.14,1.53,6.0,1.29,79.95,35.99,1.02
BCR,05/2024,2024-05-01,2.56,96.16,1.41,5.69,1.3,81.26,32.02,1.03
BCR,06/2022,2022-06-01,3.06,89.45,1.64,8.96,1.71,81.89,30.56,1.04
BCR,06/2023,2023-06-01,2.9,87.61,1.52,5.87,1.26,79.74,35.52,1.01
BCR,06/2024,2024-06-01,2.53,96.21,2.08,5.53,1.3,80.38,32.25,1.02
BCR,07/2022,2022-07-01,3.06,89.71,1.64,9.44,1.71,82.11,32.15,1.03
BCR,07/2023,2023-07-01,2.94,88.14,1.51,5.75,1.24,80.61,33.97,1.02
BCR,07/2024,2024-07-01,2.49,95.89,2.13,5.82,1.32,81.36,31.83,1.03
BCR,08/2022,2022-08-01,2.98,90.02,1.66,9.35,1.66,80.49,31.43,1.0
BCR,08/2023,2023-08-01,2.93,88.79,1.5,5.13,1.22,80.69,33.73,1.02
BCR,08/2024,2024-08-01,2.46,96.42,2.15,6.33,1.35,80.45,32.43,1.02
BCR,09/2022,2022-09-01,2.95,90.19,1.66,8.66,1.6,79.48,30.81,0.99
BCR,09/2023,2023-09-01,2.86,89.01,1.53,4.69,1.2,78.82,35.16,1.0
BCR,09/2024,2024-09-01,2.46,96.48,2.13,6.96,1.4,81.21,32.46,1.03
BCR,10/2022,2022-10-01,2.86,90.79,1.67,8.46,1.58,80.73,31.74,1.01
BCR,10/2023,2023-10-01,2.87,88.92,1.53,4.06,1.18,80.28,34.66,1.02
BCR,10/2024,2024-10-01,2.41,96.16,2.15,7.18,1.4,81.66,31.71,1.03
BCR,11/2022,2022-11-01,2.77,91.03,1.69,8.27,1.53,80.09,29.46,1.0
BCR,11/2023,2023-11-01,2.8,88.9,1.54,4.22,1.19,78.15,31.73,1.01
BCR,11/2024,2024-11-01,2.58,96.23,2.01,6.79,1.41,81.2,29.85,1.03
BCR,12/2022,2022-12-01,2.74,90.81,1.61,7.97,1.49,80.26,30.2,1.01
BCR,12/2023,2023-12-01,2.74,88.9,1.4,3.59,1.11,80.58,29.07,1.03
BCR,12/2024,2024-12-01,2.43,96.08,1.7,6.48,1.48,81.32,27.48,1.02
BCT,01/2022,2022-01-01,0.87,90.41,2.29,9.72,1.65,83.3,44.26,0.98
BCT,01/2023,2023-01-01,2.15,91.06,1.25,3.28,1.59,80.94,48.65,0.94
BCT,01/2024,2024-01-01,0.62,91.12,4.05,12.43,1.56,82.38,50.38,0.97
BCT,01/2025,2025-01-01,0.56,93.49,4.8,8.5,1.56,82.7,52.67,0.97
BCT,02/2022,2022-02-01,0.97,90.04,2.09,10.14,1.68,84.49,43.55,0.99
BCT,02/2023,2023-02-01,2.19,91.45,1.23,5.2,1.65,81.42,47.98,0.95
BCT,02/2024,2024-02-01,0.55,93.83,4.59,9.95,1.49,83.59,49.06,0.99
BCT,02/2025,2025-02-01,0.48,93.88,5.55,8.5,1.56,83.15,52.29,0.99
BCT,03/2022,2022-03-01,1.04,90.57,1.91,11.95,1.81,84.11,44.01,0.98
BCT,03/2023,2023-03-01,0.55,92.86,4.97,2.3,1.49,82.91,48.84,0.97
BCT,03/2024,2024-03-01,0.51,94.09,4.86,9.87,1.5,83.21,51.55,0.98
BCT,03/2025,2025-03-01,0.46,95.23,5.54,8.99,1.56,83.87,51.98,0.98
BCT,04/2022,2022-04-01,0.72,89.39,4.28,12.02,2.09,84.65,43.59,0.99
BCT,04/2023,2023-04-01,0.53,92.26,5.18,3.21,1.27,82.04,47.47,0.96
BCT,04/2024,2024-04-01,0.48,93.64,5.14,8.66,1.46,83.5,49.87,0.98
BCT,05/2022,2022-05-01,0.68,89.72,4.6,13.72,2.22,84.82,44.59,0.99
BCT,05/2023,2023-05-01,0.56,92.61,5.01,1.36,1.16,83.1,48.9,0.97
BCT,05/2024,2024-05-01,0.48,93.9,5.06,12.06,1.58,83.76,49.61,0.98
BCT,06/2022,2022-06-01,0.66,89.73,4.69,14.21,2.25,84.36,44.48,0.98
BCT,06/2023,2023-06-01,0.56,92.56,5.05,1.88,1.19,82.41,50.07,0.97
BCT,06/2024,2024-06-01,0.56,94.51,4.33,11.3,1.54,83.58,51.28,0.99
BCT,07/2022,2022-07-01,0.67,89.66,4.54,14.59,2.17,85.27,45.54,1.0
BCT,07/2023,2023-07-01,0.61,92.79,4.74,3.22,1.28,83.28,49.39,0.97
BCT,07/2024,2024-07-01,0.63,94.5,3.78,11.55,1.52,83.1,51.22,0.99
BCT,08/2022,2022-08-01,0.64,90.02,4.58,12.93,2.06,84.58,44.71,0.99
BCT,08/2023,2023-08-01,0.62,92.97,4.57,4.19,1.34,83.32,50.29,0.98
BCT,08/2024,2024-08-01,0.8,94.41,3.04,11.11,1.51,83.74,51.64,1.0
BCT,09/2022,2022-09-01,0.78,90.28,3.73,11.09,1.94,82.94,46.6,0.97
BCT,09/2023,2023-09-01,0.62,91.1,4.45,6.31,1.46,82.79,50.96,0.98
BCT,09/2024,2024-09-01,0.73,94.47,3.24,10.8,1.5,82.8,51.25,0.97
BCT,10/2022,2022-10-01,0.63,90.45,4.61,9.71,1.85,83.3,47.42,0.97
BCT,10/2023,2023-10-01,0.63,90.69,4.46,7.39,1.46,82.76,50.85,0.97
BCT,10/2024,2024-10-01,0.74,93.06,3.15,8.67,1.46,82.89,52.45,0.97
BCT,11/2022,2022-11-01,0.61,90.56,4.63,9.18,1.83,83.15,47.88,0.97
BCT,11/2023,2023-11-01,0.6,89.48,4.46,9.56,1.51,83.21,49.1,0.98
BCT,11/2024,2024-11-01,0.65,93.14,3.57,6.76,1.43,83.2,50.65,0.98
BCT,12/2022,2022-12-01,1.93,91.06,1.38,8.38,1.81,82.4,46.6,0.96
BCT,12/2023,2023-12-01,0.58,89.91,4.47,8.17,1.43,83.27,49.43,0.99
BCT,12/2024,2024-12-01,0.56,93.34,4.79,7.7,1.53,81.44,51.56,0.95
Banco General,01/2022,2022-01-01,1.56,82.06,2.3,4.33,1.54,79.62,53.77,0.94
Banco General,01/2023,2023-01-01,1.66,85.93,2.28,8.38,1.85,79.64,53.17,0.98
Banco General,01/2024,2024-01-01,1.41,97.63,2.86,4.8,1.55,81.29,57.4,1.02
Banco General,01/2025,2025-01-01,1.64,96.07,2.59,3.62,1.36,80.26,70.19,1.06
Banco General,02/2022,2022-02-01,1.53,82.97,2.35,4.6,1.56,80.5,52.17,0.94
Banco General,02/2023,2023-02-01,1.58,85.87,2.45,8.4,1.86,78.1,54.94,0.96
